Channel,Wecker,,,,,,,peaks
252,1155,,,,,,,
253,1111,,,,,,,
254,1137,,,,,,,
255,1203,,,,,,,
256,1143,,,,,,,
257,1174,,,,,,,
258,1132,,,,,,,
259,1237,,,,,,,
260,1305,,,,,,,
261,1277,,,,,,,
262,1325,,,,,,,
263,1431,,,,,,,
264,1480,,,,,,,
265,1564,,,,,,,
266,1636,,,,,,,
267,1721,,,,,,,
268,1672,,,,,,,
269,1703,,,,,,,
270,1682,,,,,,,
271,1701,,,,,,,
272,1845,,,,,,,
273,1840,,,,,,,
274,1804,,,,,,,
275,1753,,,,,,,
276,1623,,,,,,,
277,1615,,,,,,,
278,1654,,,,,,,
279,1576,,,,,,,
280,1529,,,,,,,
281,1467,,,,,,,
282,1416,,,,,,,
283,1377,,,,,,,
284,1329,,,,,,,
285,1292,,,,,,,
286,1282,,,,,,,
287,1182,,,,,,,
288,1174,,,,,,,
289,1175,,,,,,,
290,1148,,,,,,,
291,1169,,,,,,,
292,1200,,,,,,,
293,1130,,,,,,,
294,1075,,,,,,,
295,1104,,,,,,,
296,1130,,,,,,,
297,1077,,,,,,,
298,1041,,,,,,,
299,999,,,,,,,
300,978,,,,,,,
301,1007,,,,,,,
302,1029,,,,,,,
303,992,,,,,,,
304,975,,,,,,,
305,981,,,,,,,
306,951,,,,,,,
307,913,,,,,,,
308,941,,,,,,,
309,917,,,,,,,
310,968,,,,,,,
311,956,,,,,,,
312,940,,,,,,,
313,935,,,,,,,
314,921,,,,,,,
315,933,,,,,,,
316,991,,,,,,,
317,980,,,,,,,
318,1063,,,,,,,
319,1061,,,,,,,
320,921,,,,,,,
321,1027,,,,,,,
322,1098,,,,,,,
323,1117,,,,,,,
324,1080,,,,,,,
325,1119,,,,,,,
326,1094,,,,,,,
327,1089,,,,,,,
328,1104,,,,,,,
329,1116,,,,,,,
330,1059,,,,,,,
331,1009,,,,,,,
332,1046,,,,,,,
333,944,,,,,,,
334,949,,,,,,,
335,906,,,,,,,
336,860,,,,,,,
337,865,,,,,,,
338,895,,,,,,,
339,781,,,,,,,
340,739,,,,,,,
341,749,,,,,,,
342,758,,,,,,,
343,738,,,,,,,
344,731,,,,,,,
345,678,,,,,,,
346,700,,,,,,,
347,656,,,,,,,
348,696,,,,,,,
349,683,,,,,,,
350,683,,,,,,,
351,695,,,,,,,
352,685,,,,,,,
353,718,,,,,,,
354,716,,,,,,,
355,660,,,,,,,
356,738,,,,,,,
357,653,,,,,,,
358,723,,,,,,,
359,692,,,,,,,
360,676,,,,,,,
361,648,,,,,,,
362,738,,,,,,,
363,663,,,,,,,
364,666,,,,,,,
365,730,,,,,,,
366,727,,,,,,,
367,687,,,,,,,
368,715,,,,,,,
369,769,,,,,,,
370,797,,,,,,,
371,802,,,,,,,
372,957,,,,,,,
373,927,,,,,,,
374,1003,,,,,,,
375,1101,,,,,,,
376,1155,,,,,,,
377,1217,,,,,,,
378,1331,,,,,,,
379,1364,,,,,,,
380,1453,,,,,,,
381,1502,,,,,,,
382,1677,,,,,,,
383,1771,,,,,,,
384,1693,,,,,,,
385,1905,,,,,,,
386,1909,,,,,,,
387,1915,,,,,,,
388,1946,,,,,,,
389,1926,,,,,,,
390,1860,,,,,,,
391,1862,,,,,,,
392,1911,,,,,,,
393,1773,,,,,,,
394,1698,,,,,,,
395,1637,,,,,,,
396,1464,,,,,,,
397,1475,,,,,,,
398,1336,,,,,,,
399,1312,,,,,,,
400,1197,,,,,,,
401,1135,,,,,,,
402,1043,,,,,,,
403,924,,,,,,,
404,957,,,,,,,
405,891,,,,,,,
406,770,,,,,,,
407,809,,,,,,,
408,745,,,,,,,
409,735,,,,,,,
410,735,,,,,,,
411,707,,,,,,,
412,710,,,,,,,
413,733,,,,,,,
414,719,,,,,,,
415,762,,,,,,,
416,718,,,,,,,
417,749,,,,,,,
418,825,,,,,,,
419,841,,,,,,,
420,892,,,,,,,
421,930,,,,,,,
422,895,,,,,,,
423,986,,,,,,,
424,933,,,,,,,
425,987,,,,,,,
426,1011,,,,,,,
427,996,,,,,,,
428,1046,,,,,,,
429,1030,,,,,,,
430,988,,,,,,,
431,1002,,,,,,,
432,962,,,,,,,
433,961,,,,,,,
434,994,,,,,,,
435,891,,,,,,,
436,896,,,,,,,
437,874,,,,,,,
438,796,,,,,,,
439,828,,,,,,,
440,779,,,,,,,
441,787,,,,,,,
442,725,,,,,,,
443,762,,,,,,,
444,730,,,,,,,
445,665,,,,,,,
446,683,,,,,,,
447,677,,,,,,,
448,671,,,,,,,
449,621,,,,,,,
450,629,,,,,,,
451,632,,,,,,,
452,561,,,,,,,
453,593,,,,,,,
454,592,,,,,,,
455,599,,,,,,,
456,655,,,,,,,
457,612,,,,,,,
458,672,,,,,,,
459,630,,,,,,,
460,686,,,,,,,
461,675,,,,,,,
462,708,,,,,,,
463,706,,,,,,,
464,766,,,,,,,
465,803,,,,,,,
466,844,,,,,,,
467,854,,,,,,,
468,827,,,,,,,
469,889,,,,,,,
470,914,,,,,,,
471,948,,,,,,,
472,974,,,,,,,
473,991,,,,,,,
474,1046,,,,,,,
475,1011,,,,,,,
476,1053,,,,,,,
477,1127,,,,,,,
478,1081,,,,,,,
479,1032,,,,,,,
480,1001,,,,,,,
481,970,,,,,,,
482,994,,,,,,,
483,945,,,,,,,
484,926,,,,,,,
485,898,,,,,,,
486,889,,,,,,,
487,852,,,,,,,
488,837,,,,,,,
489,803,,,,,,,
490,759,,,,,,,
491,699,,,,,,,
492,741,,,,,,,
493,755,,,,,,,
494,651,,,,,,,
495,648,,,,,,,
496,600,,,,,,,
497,625,,,,,,,
498,558,,,,,,,
499,601,,,,,,,
500,554,,,,,,,
501,545,,,,,,,
502,583,,,,,,,
503,542,,,,,,,
504,594,,,,,,,
505,553,,,,,,,
506,542,,,,,,,
507,536,,,,,,,
508,568,,,,,,,
509,486,,,,,,,
510,500,,,,,,,
511,564,,,,,,,
512,485,,,,,,,
513,579,,,,,,,
514,540,,,,,,,
515,518,,,,,,,
516,550,,,,,,,
517,553,,,,,,,
518,521,,,,,,,
519,538,,,,,,,
520,525,,,,,,,
521,486,,,,,,,
522,537,,,,,,,
523,536,,,,,,,
524,479,,,,,,,
525,468,,,,,,,
526,473,,,,,,,
527,450,,,,,,,
528,482,,,,,,,
529,431,,,,,,,
530,453,,,,,,,
531,411,,,,,,,
532,450,,,,,,,
533,427,,,,,,,
534,430,,,,,,,
535,400,,,,,,,
536,393,,,,,,,
537,359,,,,,,,
538,354,,,,,,,
539,381,,,,,,,
540,402,,,,,,,
541,335,,,,,,,
542,364,,,,,,,
543,365,,,,,,,
544,378,,,,,,,
545,321,,,,,,,
546,326,,,,,,,
547,305,,,,,,,
548,319,,,,,,,
549,300,,,,,,,
550,315,,,,,,,
551,297,,,,,,,
552,322,,,,,,,
553,310,,,,,,,
554,274,,,,,,,
555,287,,,,,,,
556,315,,,,,,,
557,270,,,,,,,
558,281,,,,,,,
559,262,,,,,,,
560,305,,,,,,,
561,288,,,,,,,
562,309,,,,,,,
563,269,,,,,,,
564,282,,,,,,,
565,319,,,,,,,
566,270,,,,,,,
567,258,,,,,,,
568,249,,,,,,,
569,342,,,,,,,
570,328,,,,,,,
571,316,,,,,,,
572,300,,,,,,,
573,324,,,,,,,
574,341,,,,,,,
575,360,,,,,,,
576,397,,,,,,,
577,422,,,,,,,
578,436,,,,,,,
579,489,,,,,,,
580,482,,,,,,,
581,518,,,,,,,
582,545,,,,,,,
583,607,,,,,,,
584,623,,,,,,,
585,704,,,,,,,
586,757,,,,,,,
587,831,,,,,,,
588,828,,,,,,,
589,947,,,,,,,
590,869,,,,,,,
591,927,,,,,,,
592,1056,,,,,,,
593,1103,,,,,,,
594,1111,,,,,,,
595,1089,,,,,,,
596,1162,,,,,,,
597,1178,,,,,,,
598,1138,,,,,,,
599,1225,,,,,,,
600,1149,,,,,,,
601,1169,,,,,,,
602,1194,,,,,,,
603,1192,,,,,,,
604,1122,,,,,,,
605,1040,,,,,,,
606,1011,,,,,,,
607,994,,,,,,,
608,971,,,,,,,
609,915,,,,,,,
610,832,,,,,,,
611,771,,,,,,,
612,705,,,,,,,
613,682,,,,,,,
614,635,,,,,,,
615,583,,,,,,,
616,572,,,,,,,
617,540,,,,,,,
618,469,,,,,,,
619,465,,,,,,,
620,420,,,,,,,
